eventID,hits,eDepTot_keV
223,0,0
0,4,1000
224,0,0
1,3,578.604
225,4,1000
226,6,1000
2,10,456.871
227,3,1000
3,4,1000
228,4,1000
4,0,0
5,0,0
229,4,618.222
6,4,1000
7,5,1000
230,1,602.323
8,0,0
9,1,21.5773
231,1,176.425
10,0,0
232,0,0
11,5,775.048
233,0,0
12,0,0
13,1,183.491
234,4,748.16
235,0,0
14,6,1000
236,3,1000
15,6,1000
237,0,0
16,6,1000
238,0,0
17,3,1000
239,3,1000
18,1,336.509
19,4,1000
20,0,0
240,5,1000
21,4,732.159
241,0,0
22,0,0
23,0,0
24,4,1000
25,0,0
26,0,0
242,12,274.497
27,0,0
243,4,1000
28,2,770.363
244,0,0
29,0,0
245,6,1000
30,10,1000
246,0,0
31,0,0
247,4,1000
248,0,0
32,5,1000
33,0,0
249,1,706.198
34,0,0
250,0,0
35,0,0
251,0,0
36,3,1000
252,5,775.887
253,1,9.02077
37,4,1000
38,0,0
254,0,0
255,4,427.172
39,7,1000
40,0,0
256,5,1000
257,0,0
41,2,761.512
258,0,0
42,2,781.948
259,0,0
43,1,178.514
260,7,1000
44,5,1000
261,3,1000
45,0,0
262,0,0
46,0,0
47,6,1000
263,9,1000
48,0,0
264,2,458.372
265,0,0
49,5,1000
266,0,0
267,2,684.907
50,9,1000
268,0,0
269,0,0
270,0,0
51,8,1000
52,1,357.664
271,4,1000
272,0,0
273,6,1000
53,14,987.131
274,6,1000
54,7,1000
275,0,0
55,3,1000
276,4,1000
56,2,382.3
277,0,0
278,0,0
279,0,0
57,6,1000
58,0,0
280,7,1000
59,1,26.631
281,0,0
282,0,0
283,3,1000
60,9,1000
284,0,0
61,0,0
285,0,0
62,0,0
286,3,1000
63,2,413.57
287,1,535.751
64,0,0
288,0,0
65,0,0
289,0,0
66,4,1000
290,3,1000
291,0,0
67,4,1000
292,2,488.238
68,0,0
293,0,0
69,1,276.97
294,0,0
295,0,0
70,4,1000
296,0,0
71,4,1000
297,1,134.763
298,0,0
72,3,1000
299,0,0
73,0,0
300,4,1000
74,2,701.333
75,0,0
301,6,1000
302,1,321.985
76,11,1000
303,1,314.712
304,0,0
77,3,728.141
305,0,0
78,0,0
79,4,1000
