eventID,hits,eDepTot_keV
223,10,632.887
224,9,1902.9
225,14,1929.41
0,18,1075.61
226,15,1934.36
1,10,758.698
227,14,1923.26
2,16,1904.56
228,15,1914.43
229,7,367.102
3,9,1926.06
230,12,1921.72
4,13,1268.03
231,13,1917.19
5,8,655.376
232,9,1919.13
233,11,357.888
6,15,1794.64
7,15,757.151
234,15,968.123
8,9,1934.25
235,8,404.385
9,10,1462.64
236,17,1329.86
10,13,1925.76
237,15,1934.62
11,16,1925.89
238,15,1414.67
239,12,1932.26
12,15,1902.93
13,12,1915.87
240,15,1927.01
241,9,1940.35
14,17,1159.49
242,10,640.775
15,13,1897.63
243,8,1921.73
16,11,874.474
244,13,1909.36
17,16,1935.23
18,22,1750.79
245,15,1890.94
19,9,463.728
246,10,1660.43
20,22,1926.71
247,20,1892.78
21,5,605.905
248,13,1929.63
249,11,412.755
22,16,1327.79
23,10,1912.12
250,13,1656.72
251,9,1921.19
24,18,1290.99
252,10,1020.7
25,9,1926.86
253,11,501.725
26,15,1233.33
254,12,1922.4
255,9,610.559
27,19,1461.93
28,0,0
256,4,197.3
29,11,1924.15
257,10,1888.59
30,8,544.728
31,18,1918.43
258,34,1698.02
32,12,1930.75
259,6,319.142
33,7,436.929
260,13,1643.37
34,11,1929
261,14,1923.53
35,11,1133.98
36,6,537.791
262,9,511.708
263,9,1213.33
37,14,1897.31
264,13,1920.92
38,11,1891.02
265,11,1929.3
39,11,844.383
266,14,1919.44
40,11,741.611
267,11,1884.11
41,18,1238.24
42,14,806.991
268,16,884.421
43,19,1902.97
269,10,1858.87
44,15,1309.76
270,10,1822.44
45,10,1925.03
271,14,1910.64
46,25,1929.39
47,15,1928.59
272,7,604.179
273,18,1933.26
48,27,1854.69
274,20,1913.75
49,17,1421.23
50,12,1931.42
275,12,1905.63
51,13,1933.11
52,9,1927.21
276,15,1833.72
53,16,1912.89
277,17,1925.37
54,15,1925.21
55,16,1765.44
278,23,1921.99
56,6,499.577
279,10,1786.38
280,13,1722.07
57,29,1667.81
281,10,1915.23
58,7,373.614
282,11,1899.25
283,10,1926.88
59,10,912.715
284,10,1936.17
60,13,1929.61
61,9,1931.13
285,12,1925.06
62,11,1913.01
286,15,1939.4
63,12,1930.97
287,12,1909.68
64,9,1911.12
288,10,1932.54
65,9,1928.05
66,8,606.057
289,3,140.926
67,10,1905.87
290,20,1930.46
68,7,391.109
291,7,501.743
69,9,495.617
292,11,993.188
70,22,1885.35
293,9,511.412
71,19,1930.18
72,9,1212.37
294,21,1927.89
73,10,1921.69
295,9,563.415
296,15,1761.81
74,16,1583.54
297,18,1105
75,12,690.633
298,8,1932.88
299,9,1928
76,6,429.61
300,3,158.831
77,14,1935.96
301,13,1935.55
78,10,1933.38
302,12,1911.67
79,6,374.222
80,10,1930.58
303,11,1023.84
81,12,966.415
304,19,1919.76
82,13,1931.2
83,10,623.875
305,10,1906.77
84,13,1918.3
306,10,783.044
85,11,1910.07
307,13,1921.42
308,9,1920.68
86,8,453.55
309,16,1925.14
87,18,1920.68
310,9,1920.18
88,10,1930.77
311,12,1492.64
89,6,365.777
312,8,379.995
90,15,1332.04
313,18,1830.54
314,8,1116.96
