eventID,hits,eDepTot_keV
223,6,1000
0,4,1000
224,0,0
1,7,1000
225,4,1000
226,6,1000
227,3,1000
2,10,471.546
228,4,1000
3,4,1000
4,5,1000
229,9,1000
5,0,0
6,4,1000
230,9,1000
7,5,1000
231,5,1000
8,0,0
232,4,1000
9,1,21.5773
10,0,0
233,7,988.148
11,5,775.048
12,5,1000
234,4,748.16
13,6,1000
235,5,1000
14,6,1000
236,3,1000
15,6,1000
237,2,1000
16,6,1000
17,3,1000
238,4,1000
239,3,1000
18,10,1000
240,5,1000
19,4,1000
241,0,0
20,0,0
21,4,732.159
22,4,1000
242,12,290.466
23,5,1000
243,4,1000
24,4,1000
244,0,0
25,0,0
26,0,0
245,6,1000
246,0,0
27,5,1000
247,4,1000
28,2,770.363
248,0,0
29,0,0
249,1,706.198
30,6,1000
250,0,0
251,2,586.819
31,4,1000
252,7,1000
32,5,1000
253,3,335.112
33,6,1000
34,0,0
254,4,1000
35,0,0
36,3,1000
255,4,427.172
37,4,1000
256,5,1000
38,1,345.837
257,6,1000
39,7,1000
258,1,492.225
40,0,0
259,1,227.005
41,2,761.512
42,2,781.948
260,7,1000
43,9,1000
261,3,1000
262,0,0
44,5,1000
263,9,1000
264,3,557.306
45,5,1000
265,0,0
46,3,1000
266,3,1000
267,2,684.907
47,6,1000
268,4,1000
48,0,0
269,4,1000
49,5,1000
270,6,1000
271,4,1000
50,9,1000
272,4,1000
273,6,1000
51,8,1000
52,3,1000
274,6,1000
275,4,1000
276,4,1000
53,10,1000
277,3,1000
278,2,558.942
54,7,1000
279,0,0
55,3,1000
280,7,1000
56,7,1000
281,4,1000
282,1,374.104
57,6,1000
58,0,0
283,3,1000
59,7,1000
284,5,1000
285,1,12.1371
60,8,1000
286,3,1000
61,0,0
287,4,1000
62,1,40.1916
288,0,0
289,0,0
63,5,1000
290,3,1000
64,6,1000
291,2,251.91
65,5,1000
292,3,595.346
66,4,1000
293,5,1000
294,0,0
67,4,1000
295,0,0
68,2,619.151
296,6,1000
297,2,200.109
69,9,1000
298,0,0
299,0,0
70,4,1000
300,4,1000
71,4,1000
301,6,1000
72,3,1000
73,0,0
302,8,1000
74,5,1000
