eventID,hits,eDepTot_keV
223,13,1872.87
0,11,1714.2
224,9,1907.23
1,10,760.122
225,12,1933.48
2,24,1909.28
226,11,1622.99
3,14,1929.41
227,13,1673.23
4,13,1258.3
5,11,1921.47
228,11,612.746
6,35,1811.33
229,7,367.971
230,12,1924.89
7,15,758.541
8,9,1937.4
9,21,1797.4
231,16,1294.25
232,8,1922.14
10,13,1929.98
11,12,1929.02
233,16,1884.08
234,14,1936.79
12,14,1906.53
235,8,405.343
13,24,1923.81
236,17,1938.15
14,30,1879.02
237,18,1584.78
15,13,1901.94
16,11,876.233
238,15,1417.97
17,16,1939.18
18,22,1753.56
239,23,1936.12
19,9,463.038
240,15,1931.06
20,9,1929.57
21,11,1915.92
241,9,1947.66
22,16,1357.7
242,10,643.994
23,11,1915.15
243,8,1927.73
24,13,1903.78
25,9,1929.89
26,10,1063.9
27,4,322.274
244,30,841.833
28,0,0
29,11,1926.96
245,11,1893.88
30,8,552.393
31,11,1924.75
246,11,1663.53
32,12,1933.78
247,20,1897.17
33,10,1907.71
248,12,1933.12
34,11,1931.93
249,12,1073.42
35,12,1928.7
36,6,537.143
250,13,1658.61
251,9,1926.51
37,12,1901.49
38,9,1895.81
252,2,89.1133
39,10,1933.68
40,18,1935.18
253,17,1930.61
254,9,1927.2
41,18,1240.67
42,14,808.985
255,25,1920.9
43,12,1905.81
44,15,1311.24
256,4,197.119
45,10,1929.59
257,10,1892.1
46,25,1932.43
47,16,1933.94
258,34,1700.46
48,20,704.371
259,6,318.481
260,15,1910.11
49,25,1435.2
261,14,1927.22
50,15,1935.53
262,8,438.207
51,13,1936.12
52,19,1494.18
263,24,1907.29
53,15,1916.46
264,12,1929.53
265,11,1932.19
54,12,617.872
266,14,1922.74
55,16,1768.95
267,10,1888.62
56,11,1932.74
57,3,141.096
268,17,905.956
58,7,373.684
269,10,1861.66
59,15,1920.51
270,12,1830.26
60,13,1933.61
271,12,1918.93
61,9,1934.2
272,12,1801.95
62,12,934.56
63,11,1704.58
273,18,1936.09
64,14,1419.97
274,20,1916.93
65,9,1931.13
66,11,719.199
67,16,1908.97
275,18,1379.61
276,3,127.945
68,11,1750.2
69,2,80.6103
277,17,1929.25
70,16,1887.72
278,10,1926.03
71,20,1933.38
279,19,1790.2
72,18,1031.19
280,7,593.048
73,10,1924.55
281,17,1921.31
282,7,562.857
74,17,1680.93
283,10,1929.95
284,9,1940.62
75,12,696.492
285,12,1928.12
76,6,432.849
286,15,1942.34
77,18,1937.93
287,12,1913.55
78,11,1941.12
288,10,1935.23
79,6,374.744
289,9,1900.22
80,13,1934.29
290,26,1896.37
291,7,503.103
81,12,954.393
292,11,993.756
82,13,1934.66
293,14,1938.19
83,13,1933.14
294,21,1933.34
84,15,1924.67
295,22,1927.36
85,11,1912.95
296,27,1798.93
297,14,1927.9
86,8,357.476
298,8,1936.76
299,9,1931.14
87,21,1923.36
300,3,159.795
88,10,1933.58
89,11,1930.9
301,14,1938.38
302,12,1915.61
90,15,1338.41
91,14,1920.56
303,10,1008.21
92,15,1926.07
304,15,1925.64
93,17,1889.66
305,10,1910.67
94,8,1903.42
306,10,781.359
95,12,1804.41
307,13,1923.94
96,7,518.387
308,18,1923.24
309,16,1928.91
97,15,1777.54
310,10,1924.72
98,14,1940.71
311,13,1690.96
99,3,168.161
100,9,1923.08
312,8,549.348
313,11,1840.09
101,14,1684.5
102,11,1926.81
314,14,1924.84
103,10,1923.16
315,13,892.312
104,12,1922.71
316,13,1910.5
105,8,1923.53
317,12,1929.46
318,15,1859.97
106,19,1847.25
319,10,1938.08
107,11,775.409
108,17,1932.68
320,16,884.187
109,9,1917.78
321,12,1919.57
110,13,1919.98
111,10,1879.21
112,14,1920.7
322,28,1659.47
113,10,847.697
323,9,577.002
324,12,1926.99
114,20,1726.75
325,7,415.747
115,11,1917.81
326,14,1913.85
116,27,1902.94
327,13,1924.59
117,10,1829.07
328,12,1922.11
118,10,822.364
329,16,1928.87
119,20,1915.78
330,12,817.501
120,3,282.158
331,16,1878.56
121,13,824.91
122,11,1930.25
332,17,1869.63
123,19,1924.85
333,14,1919.63
334,16,1926.43
124,19,914.558
335,11,1889.09
125,9,632.215
126,22,1299.56
127,5,249.61
336,44,1930.26
128,13,1890.95
337,13,1928.91
129,15,1918.32
338,19,1938.44
130,8,870.237
339,19,1931.17
131,14,1928.5
340,10,643.391
132,17,1432.02
341,14,1914.54
133,9,457.017
342,10,1937.22
134,8,1033.42
135,17,1924.97
136,8,499.205
343,37,1768.25
137,18,1941.78
344,17,1926.45
138,12,1895.9
345,9,1030.53
139,16,1930.02
140,18,1894.3
346,13,1831.36
141,13,1929.2
142,7,741.872
347,14,1857.32
143,18,1913.44
348,20,1931.77
144,15,1880.7
349,8,1930.33
145,14,1932.05
350,10,1928.16
351,15,1876.79
146,25,976.417
147,14,1898.33
148,10,749.59
352,11,799.379
149,9,1919.69
353,18,601.424
150,15,1939.42
354,8,1367.39
355,0,0
151,10,1515.35
356,9,1879.24
152,14,1889.63
357,10,1926.95
153,11,1009.16
358,14,1199.3
359,9,1900.31
154,16,1930.42
360,8,618.98
155,18,1904.13
361,14,1928.08
156,16,1898.45
362,10,1910.39
157,17,1932.15
363,11,1851.93
364,9,1934.94
158,10,1903.6
365,13,1915.89
159,11,1890.79
366,13,1944.49
160,20,1929.78
367,11,1922.5
368,14,1928.91
161,15,1884.42
162,12,873.333
369,15,1052.61
163,24,1926.65
370,5,377.048
164,9,1922.16
371,5,317.956
165,12,773.123
372,19,1942.55
166,20,1933.2
373,7,417.139
167,24,1898.48
374,12,773.24
168,11,1934.85
375,9,1930.61
169,10,1924.96
376,20,1927.08
170,8,522.527
377,15,1927.27
171,12,1900.17
378,8,743.487
379,3,186.373
172,22,1674.46
