eventID,hits,eDepTot_keV
0,0,0
223,4,745.601
1,0,0
224,1,320.279
225,0,0
226,0,0
227,0,0
228,0,0
2,0,0
229,0,0
3,0,0
230,7,397.677
4,5,1000
5,7,1000
231,5,1000
6,0,0
7,0,0
232,4,1000
8,8,1000
233,7,988.148
9,7,978.423
234,0,0
10,5,1000
11,0,0
235,5,1000
236,0,0
12,5,1000
13,0,0
237,2,1000
14,0,0
15,0,0
238,4,1000
16,0,0
239,0,0
17,0,0
240,0,0
18,6,663.491
19,0,0
241,3,1000
20,5,1000
21,0,0
22,4,1000
242,0,0
243,0,0
23,5,1000
24,0,0
244,5,1000
25,4,1000
245,0,0
26,4,1000
246,8,1000
27,5,1000
247,0,0
28,0,0
248,7,1000
29,0,0
249,0,0
30,0,0
250,6,1000
31,4,1000
32,0,0
251,7,1000
33,6,1000
252,4,954.478
34,5,1000
253,5,683.916
35,4,1000
254,4,1000
36,0,0
37,0,0
255,3,572.828
38,5,1000
256,0,0
39,0,0
40,3,459.73
257,6,1000
41,0,0
258,4,1000
42,0,0
259,6,1000
260,0,0
43,9,1000
261,0,0
44,0,0
45,5,1000
262,4,1000
263,0,0
46,3,1000
47,0,0
264,5,541.628
265,3,1000
48,8,1000
49,0,0
266,3,1000
50,0,0
267,0,0
51,0,0
52,2,642.336
268,4,1000
53,4,899.597
269,4,1000
54,0,0
55,0,0
56,1,167.727
57,0,0
270,6,1000
271,0,0
58,7,1000
59,4,745.661
272,4,1000
273,0,0
274,0,0
275,4,1000
60,0,0
276,0,0
277,3,1000
61,7,1000
278,6,1000
62,6,1000
63,4,986.556
279,9,1000
64,6,1000
280,0,0
65,5,1000
281,4,1000
66,3,813.338
282,5,1000
67,0,0
283,0,0
68,4,1000
284,5,1000
69,0,0
70,0,0
285,5,1000
71,0,0
286,0,0
287,0,0
72,0,0
288,1,159.291
73,10,1000
289,9,1000
290,0,0
74,3,298.667
291,5,1000
75,5,1000
292,0,0
76,0,0
293,5,1000
77,0,0
78,1,167.614
294,7,1000
79,0,0
295,7,1000
80,0,0
81,1,256.901
296,6,1000
82,0,0
83,0,0
297,5,865.237
84,0,0
298,5,1000
85,0,0
86,0,0
299,6,1000
87,0,0
300,0,0
88,0,0
301,0,0
89,4,793.261
302,4,678.015
90,5,1000
303,7,685.288
91,1,89.0676
92,4,1000
304,4,1000
93,3,789.05
305,4,1000
94,5,774.708
306,0,0
95,0,0
307,0,0
96,0,0
308,4,766.184
97,6,1000
309,0,0
98,0,0
310,5,1000
99,0,0
311,0,0
312,0,0
100,7,1000
313,1,188.421
101,0,0
314,0,0
315,4,868.097
102,9,1000
103,0,0
316,2,529.19
104,7,1000
317,4,1000
105,4,1000
318,2,416.809
106,4,1000
107,5,1000
319,6,1000
108,3,1000
320,0,0
109,4,579.423
321,0,0
110,4,1000
322,6,1000
323,0,0
111,4,1000
112,5,1000
324,7,1000
113,3,1000
325,6,1000
114,4,719.44
326,0,0
115,0,0
327,4,1000
116,7,1000
328,5,838.423
117,4,1000
329,0,0
118,4,1000
330,5,1000
119,2,428.243
331,0,0
120,4,1000
332,4,820.918
121,3,749.992
333,0,0
122,0,0
123,0,0
334,6,750.699
335,0,0
124,6,1000
336,4,1000
337,0,0
125,4,807.185
338,6,1000
126,3,453.239
127,0,0
339,6,746.909
128,0,0
340,3,1000
129,0,0
341,4,537.08
130,0,0
131,0,0
342,0,0
343,0,0
132,4,711.129
344,0,0
133,0,0
345,3,1000
134,0,0
346,4,946.198
135,4,1000
136,0,0
347,8,1000
137,0,0
348,4,1000
138,4,316.102
139,0,0
349,6,772.827
140,0,0
350,6,1000
351,0,0
141,7,1000
142,0,0
352,6,994.081
143,0,0
353,2,750.756
144,6,504.409
354,0,0
145,0,0
146,0,0
355,6,1000
147,0,0
356,4,1000
148,0,0
149,3,506.705
357,7,1000
150,0,0
358,0,0
151,0,0
152,7,1000
359,5,1000
153,7,1000
360,5,1000
361,0,0
154,4,847.051
155,0,0
362,6,1000
156,0,0
363,8,1000
157,4,654.95
364,5,1000
158,4,1000
365,7,850.492
159,4,1000
366,0,0
160,3,781.575
367,4,1000
161,4,1000
368,8,1000
162,0,0
163,0,0
369,0,0
164,0,0
370,0,0
165,5,1000
371,5,1000
166,0,0
372,0,0
167,6,1000
168,0,0
373,9,1000
169,4,1000
374,0,0
170,4,1000
375,4,1000
171,5,1000
172,0,0
376,4,1000
377,4,1000
173,4,1000
174,7,1000
378,2,17.9053
175,3,510.909
379,3,1000
380,1,39.29
176,4,893.927
381,1,14.4785
382,0,0
177,5,1000
383,0,0
178,0,0
179,0,0
384,5,779.441
180,0,0
385,0,0
181,0,0
386,6,1000
182,2,705.338
387,3,437.879
183,0,0
388,4,1000
184,0,0
185,0,0
389,0,0
186,0,0
390,0,0
187,0,0
391,0,0
188,5,1000
392,8,1000
189,7,1000
393,7,1000
190,6,1000
394,0,0
191,3,642.872
395,4,819.969
192,4,1000
193,4,1000
396,7,1000
194,7,1000
397,7,1000
398,4,1000
195,5,1000
399,4,1000
400,0,0
196,4,687.819
197,0,0
401,7,1000
402,0,0
198,0,0
199,0,0
403,4,1000
404,1,471.454
200,5,685.248
405,0,0
201,0,0
202,4,509.647
406,8,1000
203,0,0
407,4,1000
204,4,1000
408,3,1000
409,0,0
205,5,1000
410,2,499.386
411,0,0
206,7,1000
412,5,1000
413,5,1000
207,7,904.948
414,5,1000
208,5,1000
209,0,0
415,4,1000
416,3,1000
210,5,1000
211,4,1000
417,5,1000
418,0,0
212,0,0
419,4,566.05
213,7,719.516
420,2,413.986
214,0,0
421,6,1000
422,0,0
215,6,617.808
423,3,793.216
424,0,0
216,2,554.738
425,0,0
426,4,1000
217,7,1000
218,0,0
427,5,782.773
219,5,1000
428,6,930.739
220,4,1000
429,7,1000
221,1,49.5272
222,0,0
430,3,618.911
431,4,1000
446,4,1000
432,4,1000
447,0,0
433,5,1000
434,0,0
448,7,1000
435,3,1000
449,4,1000
436,0,0
437,3,689.502
450,7,1000
438,5,1000
451,5,1000
439,0,0
452,1,181.7
440,7,1000
453,6,1000
454,0,0
441,6,1000
455,0,0
442,0,0
456,3,1000
443,4,1000
457,0,0
444,0,0
458,0,0
445,0,0
459,8,511.763
669,0,0
460,3,1000
670,5,1000
461,7,1000
462,0,0
671,5,790.732
463,0,0
672,1,245.751
464,0,0
673,0,0
465,5,1000
466,0,0
674,7,1000
467,3,1000
675,3,662.636
468,6,1000
469,0,0
676,5,1000
470,0,0
677,0,0
678,0,0
471,4,1000
472,6,1000
679,7,1000
473,3,362.029
680,3,1000
474,0,0
681,0,0
475,0,0
476,0,0
682,3,830.374
477,4,1000
683,4,1000
478,0,0
684,5,682.001
479,7,1000
685,0,0
480,0,0
481,0,0
686,4,1000
482,0,0
687,0,0
483,0,0
484,0,0
688,5,1000
485,4,1000
689,2,742.889
486,0,0
690,0,0
487,0,0
488,0,0
691,5,1000
489,4,1000
692,0,0
693,0,0
490,6,778.376
694,6,1000
491,0,0
492,0,0
695,4,763.57
493,0,0
696,1,32.3204
697,0,0
698,0,0
494,8,1000
495,5,924.063
699,6,1000
496,0,0
700,0,0
497,0,0
701,0,0
498,4,1000
499,0,0
500,5,941.345
702,8,1000
501,0,0
502,5,1000
703,6,1000
503,0,0
704,0,0
504,5,1000
705,6,847.109
505,5,1000
706,0,0
506,3,1000
507,0,0
707,6,1000
708,0,0
508,4,1000
709,5,814.57
509,5,1000
710,2,781.349
510,3,296.795
511,0,0
512,0,0
711,0,0
513,5,1000
712,4,653.19
514,4,1000
713,0,0
515,4,1000
516,0,0
714,4,1000
517,3,1000
715,5,792
518,0,0
519,0,0
716,0,0
520,4,1000
717,8,1000
521,6,1000
718,2,759.217
522,5,1000
719,0,0
523,0,0
720,5,1000
524,8,1000
525,0,0
721,3,383.664
722,0,0
526,5,944.888
723,6,709.578
527,4,1000
528,0,0
724,4,1000
529,0,0
725,0,0
530,3,497.758
531,4,1000
726,12,1000
532,7,761.621
727,8,786.226
533,6,1000
728,7,1000
729,1,766.292
534,8,1000
730,0,0
731,0,0
732,0,0
535,6,977.154
536,0,0
733,0,0
537,0,0
734,0,0
538,6,1000
539,7,517.107
735,8,1000
736,0,0
540,4,991.692
737,4,767.493
541,7,1000
738,0,0
542,7,1000
739,5,819.559
543,0,0
740,0,0
544,0,0
545,3,1000
741,0,0
546,6,807.026
742,7,1000
547,0,0
743,4,1000
548,6,1000
549,0,0
744,9,1000
550,0,0
551,0,0
745,8,997.945
552,4,1000
746,7,1000
553,4,1000
747,8,1000
554,4,1000
748,5,1000
555,0,0
749,5,583.544
556,8,1000
750,5,1000
751,1,98.6551
557,5,759.457
752,0,0
753,0,0
558,7,810.456
754,0,0
755,0,0
559,4,1000
756,0,0
560,6,1000
757,6,932.708
561,4,1000
758,7,918.583
562,0,0
759,2,524.997
563,4,748.511
760,6,1000
564,0,0
761,7,1000
565,0,0
762,0,0
566,0,0
567,0,0
763,8,1000
568,0,0
764,6,1000
569,4,1000
765,7,1000
570,4,268.059
766,4,1000
767,4,1000
571,7,1000
572,0,0
768,5,1000
769,0,0
573,0,0
770,0,0
574,3,1000
771,6,795.808
575,4,763.553
772,1,364.62
576,6,1000
773,4,923.702
577,0,0
774,4,1000
775,0,0
578,11,1000
776,0,0
579,0,0
580,0,0
777,5,795.031
778,3,1000
581,9,1000
779,3,1000
780,4,1000
781,6,1000
582,10,970.499
782,0,0
583,5,1000
783,0,0
584,9,1000
784,8,1000
585,0,0
785,0,0
586,1,711.085
786,0,0
587,4,1000
787,0,0
588,7,1000
788,5,793.504
789,0,0
589,7,1000
790,4,543.706
590,10,1000
791,4,919.966
591,0,0
792,4,777.362
793,0,0
592,5,1000
794,0,0
795,0,0
593,7,972.892
796,5,1000
797,5,1000
594,5,1000
798,7,1000
595,4,557.266
799,4,1000
596,4,939.971
800,0,0
597,5,1000
801,7,890.317
802,4,1000
598,5,1000
803,0,0
804,4,1000
599,7,972.916
805,0,0
600,6,724.569
806,5,1000
601,0,0
807,5,1000
602,3,784.732
808,4,1000
603,0,0
604,0,0
809,6,1000
810,4,1000
605,6,1000
606,0,0
811,5,1000
812,4,1000
813,0,0
607,9,741.459
814,3,636.49
608,0,0
815,0,0
609,5,1000
816,7,664.597
817,5,1000
610,9,1000
818,0,0
611,0,0
819,6,1000
612,4,791.916
820,0,0
613,0,0
821,3,1000
614,5,1000
822,5,994.903
615,0,0
616,0,0
823,3,799.517
824,4,1000
617,7,1000
825,0,0
618,0,0
826,5,1000
619,0,0
827,0,0
828,3,746.2
620,0,0
829,0,0
621,2,205.46
830,0,0
831,4,1000
622,0,0
832,0,0
623,4,1000
833,4,1000
834,0,0
624,5,990.991
835,5,920.785
625,4,839.351
836,0,0
626,6,976.103
837,0,0
627,9,1000
838,6,1000
839,0,0
628,0,0
629,0,0
840,4,1000
630,5,1000
841,3,642.453
631,6,817.099
842,0,0
632,4,1000
843,4,1000
844,0,0
633,4,1000
634,0,0
845,3,518.784
846,5,1000
635,2,354.652
636,6,1000
847,6,1000
848,0,0
849,0,0
637,5,1000
850,4,847.427
638,5,513.103
851,0,0
639,0,0
640,0,0
852,5,1000
853,0,0
641,5,950.205
854,0,0
855,0,0
642,0,0
643,0,0
856,4,1000
644,3,1000
857,5,571.321
645,0,0
646,3,1000
858,10,281.99
859,4,1000
647,4,1000
860,0,0
648,0,0
861,6,1000
649,5,362.075
862,2,600.996
650,0,0
863,7,912.844
651,8,1000
652,3,595.648
864,2,550.788
653,4,625.37
865,3,835.018
654,0,0
866,6,1000
655,6,1000
867,4,1000
656,0,0
868,4,1000
657,6,1000
869,3,1000
658,7,1000
659,0,0
870,5,1000
660,0,0
871,3,1000
661,10,1000
872,6,1000
662,5,829.83
663,4,609.536
873,7,1000
664,3,489.659
874,3,1000
875,0,0
665,3,1000
666,0,0
667,5,991.618
876,23,1000
668,4,911.758
892,3,649.444
877,8,860.886
893,4,1000
878,5,762.773
894,3,930.748
879,4,493.557
880,4,1000
895,5,1000
881,0,0
896,4,1000
882,0,0
883,5,1000
897,4,239.92
884,5,1000
898,5,1000
885,6,1000
899,6,1000
886,6,1000
900,5,1000
887,7,1000
888,0,0
901,4,662.818
889,0,0
890,0,0
902,1,58.918
891,0,0
1115,0,0
903,4,1000
1116,6,1000
904,7,1000
1117,4,1000
1118,0,0
905,0,0
1119,0,0
906,4,1000
1120,4,1000
1121,0,0
907,3,1000
1122,0,0
908,4,1000
1123,8,1000
909,4,1000
1124,6,1000
910,1,134.731
1125,0,0
911,0,0
1126,5,1000
912,0,0
1127,6,745.025
913,0,0
1128,4,1000
914,5,1000
1129,5,1000
915,0,0
1130,0,0
916,1,403.787
1131,7,1000
917,0,0
1132,1,16.4265
918,0,0
1133,5,1000
919,4,1000
1134,0,0
920,0,0
1135,4,1000
921,0,0
1136,0,0
1137,4,1000
922,3,844.485
1138,4,1000
923,5,1000
924,0,0
1139,7,638.594
1140,0,0
925,0,0
1141,4,1000
926,0,0
927,0,0
1142,6,1000
928,0,0
929,0,0
1143,6,868.058
930,0,0
1144,0,0
931,4,1000
1145,3,610.637
